Gene names  (ordered locus )	Entry	DNA binding	Metal binding	Nucleotide binding	Site	Cross-link	Disulfide bond	Glycosylation	Lipidation	Modified residue	Peptide	Propeptide	Signal peptide	Transit peptide	Coiled coil	Domain [CC]	Domain [FT]	Motif	Region	Zinc finger
YEL002C	P33767							"CARBOHYD 60;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000269|PubMed:29301962""; CARBOHYD 332;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000269|PubMed:29301962"""					"SIGNAL 1..20;  /evidence=""ECO:0000269|PubMed:1724755, ECO:0000269|PubMed:7703229"""			"DOMAIN: The cytoplasmic C-terminal domain contains a functional dilysine-retrieval motif, which is involved in the retrograde Golgi-to-ER transport of the protein."				
YKL224C	P35994												"SIGNAL 1..20;  /evidence=""ECO:0000255"""							
YEL049W	P32612																			
YMR325W	P0CE85												"SIGNAL 1..20;  /evidence=""ECO:0000255"""							
YNR076W	P0CE90												"SIGNAL 1..20;  /evidence=""ECO:0000255"""							
YAL068C	P0CE92												"SIGNAL 1..20;  /evidence=""ECO:0000255"""							
YGR294W	P53343																			
YDR488C	P40960																		"REGION 1..36;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YPL196W	Q08952									"MOD_RES 1;  /note=""N-acetylmethionine"";  /evidence=""ECO:0007744|PubMed:22814378""; MOD_RES 178;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956"""							"DOMAIN 74..273;  /note=""TLDc"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01234"""		"REGION 18..48;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 177..197;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YML125C	Q12746			"NP_BIND 153..168;  /note=""FAD"";  /evidence=""ECO:0000250""; NP_BIND 179..211;  /note=""FAD"";  /evidence=""ECO:0000250"""													"DOMAIN 70..173;  /note=""FAD-binding FR-type"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00716"""			
YEL017C-A	P40975											"PROPEP 1..5;  /evidence=""ECO:0000269|PubMed:8063750"";  /id=""PRO_0000022073"""								
YGR075C	Q00723																		"REGION 217..242;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YDL039C	Q12459																		"REGION 1..65;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 133..183;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 197..274;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 455..480;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YKR090W	P36166									"MOD_RES 43;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 63;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198"""							"DOMAIN 556..612;  /note=""LIM zinc-binding 1"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00125""; DOMAIN 621..672;  /note=""LIM zinc-binding 2"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00125"""		"REGION 24..192;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 222..258;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 279..341;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 514..537;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YBR030W	P38222																"DOMAIN 26..335;  /note=""SET"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00190"""		"REGION 399..432;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YIL127C	P40470									"MOD_RES 197;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 202;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 203;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198"""									"REGION 178..206;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YOL095C	Q12039			"NP_BIND 29..34;  /note=""ATP"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00560"""								"PROPEP 693..706;  /note=""Cleaved upon import into mitochondrion"";  /id=""PRO_0000013298"""					"DOMAIN 5..277;  /note=""UvrD-like helicase ATP-binding"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00560""; DOMAIN 278..593;  /note=""UvrD-like helicase C-terminal"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00617"""			
YFR025C	P38635																			
YBR169C	P32590																		"REGION 653..693;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YKL168C	P36004			"NP_BIND 418..426;  /note=""ATP"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159"""						"MOD_RES 19;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17287358""; MOD_RES 232;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:18407956, ECO:0007744|PubMed:19779198""; MOD_RES 238;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950""; MOD_RES 241;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950"""							"DOMAIN 412..712;  /note=""Protein kinase"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159"""		"REGION 1..81;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 93..188;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 329..355;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YIL094C	P40495		"METAL 243;  /note=""Magnesium"";  /evidence=""ECO:0000250|UniProtKB:Q72IW9""; METAL 267;  /note=""Magnesium"";  /evidence=""ECO:0000250|UniProtKB:Q72IW9""; METAL 271;  /note=""Magnesium"";  /evidence=""ECO:0000250|UniProtKB:Q72IW9"""	"NP_BIND 96..98;  /note=""NADH"";  /evidence=""ECO:0000250|UniProtKB:Q72IW9""; NP_BIND 300..304;  /note=""NADH"";  /evidence=""ECO:0000250|UniProtKB:Q72IW9"""	"SITE 150;  /note=""Critical for catalysis""; SITE 206;  /note=""Critical for catalysis"""					"MOD_RES 98;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956"""				"TRANSIT 1..22;  /note=""Mitochondrion"";  /evidence=""ECO:0000255"""						
YOL060C	Q12296									"MOD_RES 439;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 447;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 527;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17287358""; MOD_RES 603;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 604;  /note=""Phosphotyrosine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 607;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 614;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956"""							"DOMAIN 57..240;  /note=""CNNM transmembrane"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01193""; DOMAIN 259..320;  /note=""CBS 1"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00703""; DOMAIN 321..386;  /note=""CBS 2"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00703"""		"REGION 421..495;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 515..540;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 557..597;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 626..706;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YOR274W	P07884		"METAL 375;  /note=""Zinc"";  /evidence=""ECO:0000269|PubMed:18852462, ECO:0007744|PDB:3EPH, ECO:0007744|PDB:3EPJ, ECO:0007744|PDB:3EPK, ECO:0007744|PDB:3EPL""; METAL 378;  /note=""Zinc"";  /evidence=""ECO:0000269|PubMed:18852462, ECO:0007744|PDB:3EPH, ECO:0007744|PDB:3EPJ, ECO:0007744|PDB:3EPK, ECO:0007744|PDB:3EPL""; METAL 397;  /note=""Zinc; via tele nitrogen"";  /evidence=""ECO:0000269|PubMed:18852462, ECO:0007744|PDB:3EPH, ECO:0007744|PDB:3EPJ, ECO:0007744|PDB:3EPK, ECO:0007744|PDB:3EPL""; METAL 403;  /note=""Zinc; via pros nitrogen"";  /evidence=""ECO:0000269|PubMed:18852462, ECO:0007744|PDB:3EPH, ECO:0007744|PDB:3EPJ, ECO:0007744|PDB:3EPK, ECO:0007744|PDB:3EPL"""	"NP_BIND 21..28;  /note=""ATP"";  /evidence=""ECO:0000255"""	"SITE 112;  /note=""Interaction with substrate tRNA"";  /evidence=""ECO:0000269|PubMed:18852462""; SITE 193;  /note=""Interaction with substrate tRNA"";  /evidence=""ECO:0000269|PubMed:18852462"""											"DOMAIN: The core aggregation region, although lacking the prion-typical Gln/Asn (Q/N)-rich domain, is required for the formation of the amyloid-like fibrillar aggregates. {ECO:0000305|PubMed:22517861}."			"REGION 23..28;  /note=""Dimethylallyl diphosphate binding"";  /evidence=""ECO:0000269|PubMed:18852462""; REGION 46..49;  /note=""Interaction with substrate tRNA"";  /evidence=""ECO:0000269|PubMed:18852462""; REGION 170..174;  /note=""Interaction with substrate tRNA"";  /evidence=""ECO:0000269|PubMed:18852462""; REGION 199..207;  /note=""Core aggregation region"";  /evidence=""ECO:0000269|PubMed:18852462""; REGION 210..232;  /note=""Interaction with isopentenylpyrophosphate transferase"";  /evidence=""ECO:0000269|PubMed:18852462""; REGION 256..258;  /note=""Interaction with substrate tRNA"";  /evidence=""ECO:0000269|PubMed:18852462""; REGION 284..302;  /note=""Interaction with substrate tRNA"";  /evidence=""ECO:0000269|PubMed:18852462"""	"ZN_FING 373..409;  /note=""Matrin-type"""
YHR204W	P38888		"METAL 495;  /note=""Calcium"";  /evidence=""ECO:0000250|UniProtKB:P32906"""					"CARBOHYD 86;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 517;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 672;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 762;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255"""					"SIGNAL 1..20;  /evidence=""ECO:0000255"""							
YDL045W-A	O75012						"DISULFID 30..61;  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01150""; DISULFID 40..51;  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01150"""										"DOMAIN 27..69;  /note=""CHCH"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01150"""	"MOTIF 30..40;  /note=""Cx9C motif 1"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01150""; MOTIF 51..61;  /note=""Cx9C motif 2"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU01150"""		
YMR063W	Q04734																			
YLR219W	Q05812									"MOD_RES 57;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 64;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 127;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 151;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:19779198""; MOD_RES 155;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:19779198""; MOD_RES 363;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950""; MOD_RES 646;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 660;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198"""									"REGION 33..171;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 236..261;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 300..335;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 363..403;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 421..454;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 495..514;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 561..728;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YDR456W	Q04121							"CARBOHYD 420;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 515;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000269|PubMed:11036065""; CARBOHYD 550;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000269|PubMed:11036065""; CARBOHYD 563;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000269|PubMed:11036065"""		"MOD_RES 490;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 494;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 498;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 499;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 569;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198"""			"SIGNAL 1..21;  /evidence=""ECO:0000255"""					"MOTIF 124..133;  /note=""Amiloride-binding"""	"REGION 25..44;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 553..578;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YJL041W	P14907									"MOD_RES 238;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956""; MOD_RES 361;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956""; MOD_RES 456;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956""; MOD_RES 631;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198"""					"COILED 630..823;  /evidence=""ECO:0000255"""	"DOMAIN: Contains FG repeats. FG repeats are interaction sites for karyopherins (importins, exportins) and form probably an affinity gradient, guiding the transport proteins unidirectionally with their cargo through the NPC. FG repeat regions are highly flexible and lack ordered secondary structure. The overall conservation of FG repeats regarding exact sequence, spacing, and repeat unit length is limited. FG repeat types and their physico-chemical environment change across the NPC from the nucleoplasmic to the cytoplasmic side. {ECO:0000269|PubMed:2112428}."			"REGION 1..64;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 70..89;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 129..620;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 673..738;  /note=""Competitive binding site of NUP57 and NUP82""; REGION 740..823;  /note=""Required for association with NUP57 subcomplex"""	
YER068W	P34909					"CROSSLNK 270;  /note=""Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"";  /evidence=""ECO:0007744|PubMed:22106047"""				"MOD_RES 310;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:19779198""; MOD_RES 312;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950, ECO:0007744|PubMed:19779198""; MOD_RES 326;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 360;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198"""					"COILED 94..128;  /evidence=""ECO:0000255"""		"DOMAIN 137..228;  /note=""RRM"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00176"""		"REGION 370..412;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	"ZN_FING 33..78;  /note=""RING-type"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00175""; ZN_FING 229..256;  /note=""C3H1-type"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00723"""
YDL046W	Q12408											"PROPEP 22..34;  /evidence=""ECO:0000250"";  /id=""PRO_0000019897"""	"SIGNAL 1..21;  /evidence=""ECO:0000255"""							
YNL110C	P53927																"DOMAIN 91..169;  /note=""RRM"";  /evidence=""ECO:0000255|PROSITE-ProRule:PRU00176"""		"REGION 1..82;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YGL038C	P31755							"CARBOHYD 203;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 281;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 341;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255""; CARBOHYD 393;  /note=""N-linked (GlcNAc...) asparagine"";  /evidence=""ECO:0000255"""								DOMAIN: The conserved DXD motif is involved in enzyme activity. {ECO:0000303|PubMed:17042779}.		"MOTIF 187..189;  /note=""DXD motif"";  /evidence=""ECO:0000303|PubMed:17042779"""		
YPR073C	P40347				"SITE 21;  /note=""Important for catalytic activity"";  /evidence=""ECO:0000269|PubMed:10684639, ECO:0007744|PDB:1D1Q"""					"MOD_RES 57;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956"""										
YHR201C	P38698		"METAL 41;  /note=""Magnesium"";  /evidence=""ECO:0007744|PDB:2QB8""; METAL 41;  /note=""Manganese"";  /evidence=""ECO:0007744|PDB:2QB6""; METAL 127;  /note=""Magnesium"";  /evidence=""ECO:0007744|PDB:2QB8""; METAL 127;  /note=""Manganese"";  /evidence=""ECO:0007744|PDB:2QB6""; METAL 148;  /note=""Magnesium; via tele nitrogen"";  /evidence=""ECO:0007744|PDB:2QB8""; METAL 148;  /note=""Manganese; via tele nitrogen"";  /evidence=""ECO:0007744|PDB:2QB6"""																	
YNL221C	P41812									"MOD_RES 524;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:18407956"""									"REGION 1..20;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 35..54;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 119..140;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YNR052C	P39008		"METAL 188;  /note=""Divalent metal cation; catalytic"";  /evidence=""ECO:0000255""; METAL 190;  /note=""Divalent metal cation; catalytic"";  /evidence=""ECO:0000255""; METAL 310;  /note=""Divalent metal cation; catalytic"";  /evidence=""ECO:0000255""; METAL 394;  /note=""Divalent metal cation; catalytic"";  /evidence=""ECO:0000255"""							"MOD_RES 1;  /note=""N-acetylmethionine"";  /evidence=""ECO:0007744|PubMed:22814378""; MOD_RES 97;  /note=""Phosphothreonine; by YAK1"";  /evidence=""ECO:0000269|PubMed:11358866"""									"REGION 78..98;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YML016C	P26570		"METAL 419;  /note=""Manganese 1"";  /evidence=""ECO:0000250""; METAL 421;  /note=""Manganese 1"";  /evidence=""ECO:0000250""; METAL 447;  /note=""Manganese 1"";  /evidence=""ECO:0000250""; METAL 447;  /note=""Manganese 2"";  /evidence=""ECO:0000250""; METAL 479;  /note=""Manganese 2"";  /evidence=""ECO:0000250""; METAL 528;  /note=""Manganese 2"";  /evidence=""ECO:0000250""; METAL 603;  /note=""Manganese 2"";  /evidence=""ECO:0000250"""						"LIPID 2;  /note=""N-myristoyl glycine"";  /evidence=""ECO:0000255"""	"MOD_RES 49;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950""; MOD_RES 171;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:17330950""; MOD_RES 209;  /note=""Phosphoserine"";  /evidence=""ECO:0000250|UniProtKB:P33329""; MOD_RES 222;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 261;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:17330950""; MOD_RES 265;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17330950""; MOD_RES 690;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198"""									"REGION 1..309;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 321..357;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 672..692;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YDR436W	P33329		"METAL 454;  /note=""Manganese 1"";  /evidence=""ECO:0000250""; METAL 456;  /note=""Manganese 1"";  /evidence=""ECO:0000250""; METAL 482;  /note=""Manganese 1"";  /evidence=""ECO:0000250""; METAL 482;  /note=""Manganese 2"";  /evidence=""ECO:0000250""; METAL 514;  /note=""Manganese 2"";  /evidence=""ECO:0000250""; METAL 563;  /note=""Manganese 2"";  /evidence=""ECO:0000250""; METAL 638;  /note=""Manganese 2"";  /evidence=""ECO:0000250"""						"LIPID 2;  /note=""N-myristoyl glycine"";  /evidence=""ECO:0000255"""	"MOD_RES 55;  /note=""Phosphoserine"";  /evidence=""ECO:0000250|UniProtKB:P26570""; MOD_RES 71;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 161;  /note=""Phosphothreonine"";  /evidence=""ECO:0000250|UniProtKB:P26570""; MOD_RES 203;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:17287358""; MOD_RES 224;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198""; MOD_RES 271;  /note=""Phosphothreonine"";  /evidence=""ECO:0000250|UniProtKB:P26570""; MOD_RES 275;  /note=""Phosphoserine"";  /evidence=""ECO:0000250|UniProtKB:P26570""; MOD_RES 310;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:19779198"""									"REGION 1..382;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YNL282W	P53833																			
YBR257W	P38336									"MOD_RES 64;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956"""										
YAL033W	P28005																			
YGR030C	P53218														"COILED 51..71;  /evidence=""ECO:0000255"""					
YIR008C	P10363																	"MOTIF 123..133;  /note=""Zinc knuckle motif"""		
YBR167C	P38291									"MOD_RES 115;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956"""									"REGION 1..21;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YBL018C	P38208																			
YKL045W	P20457		"METAL 336;  /note=""Iron-sulfur (4Fe-4S)"";  /evidence=""ECO:0000269|PubMed:20404922""; METAL 417;  /note=""Iron-sulfur (4Fe-4S)"";  /evidence=""ECO:0000269|PubMed:20404922""; METAL 434;  /note=""Iron-sulfur (4Fe-4S)"";  /evidence=""ECO:0000269|PubMed:20404922""; METAL 474;  /note=""Iron-sulfur (4Fe-4S)"";  /evidence=""ECO:0000269|PubMed:20404922"""																"REGION 210..239;  /note=""H-T-H-like motif"";  /evidence=""ECO:0000255"""	
YIL083C	P40506																		"REGION 228..250;  /note=""Disordered"";  /evidence=""ECO:0000256|SAM:MobiDB-lite"""	
YOR122C	P07274																			
YKL025C	P36102			"NP_BIND 376..383;  /note=""ATP"";  /evidence=""ECO:0000255|HAMAP-Rule:MF_03181""; NP_BIND 430..431;  /note=""ATP"";  /evidence=""ECO:0000255|HAMAP-Rule:MF_03181"""						"MOD_RES 57;  /note=""Phosphothreonine"";  /evidence=""ECO:0007744|PubMed:18407956""; MOD_RES 252;  /note=""Phosphoserine"";  /evidence=""ECO:0007744|PubMed:18407956"""					"COILED 549..587;  /evidence=""ECO:0000255|HAMAP-Rule:MF_03181, ECO:0000305|PubMed:24880344"""	"DOMAIN: The N-terminal zinc finger binds to poly(A) RNA. {ECO:0000255|HAMAP-Rule:MF_03181, ECO:0000269|PubMed:24872509}.; DOMAIN: Contains a pseudokinase domain. The protein kinase domain is predicted to be catalytically inactive because some of the residues important for catalytic activity are substituted and it lacks the equivalent of the binding site for a peptide substrate (PubMed:24880344). However, it has retained an ATP-binding site and ATP-binding is required for mRNA degradation, stimulating the activity of the PAN2 nuclease in vitro. The nucleotide-binding site is juxtaposed to the RNase active site of PAN2 in the complex and may actually bind nucleosides of a poly(A) RNA rather than ATP, feeding the poly(A)-tail to the active site of the deadenylase and thus increasing the efficiency with which this distributive enzyme degrades oligo(A) RNAs (By similarity). {ECO:0000250|UniProtKB:Q7SDP4, ECO:0000255|HAMAP-Rule:MF_03181, ECO:0000269|PubMed:24880344}.; DOMAIN: The pseudokinase domain, the coiled-coil (CC), and C-terminal knob domain (CK) form a structural unit (PKC) that forms an extensive high-affinity interaction surface for PAN2. {ECO:0000255|HAMAP-Rule:MF_03181}."		"MOTIF 143..163;  /note=""PABPC-interacting motif-2 (PAM-2)"";  /evidence=""ECO:0000269|PubMed:17595167"""	"REGION 275..548;  /note=""Pseudokinase domain"";  /evidence=""ECO:0000255|HAMAP-Rule:MF_03181, ECO:0000305|PubMed:24880344""; REGION 588..679;  /note=""Knob domain"";  /evidence=""ECO:0000255|HAMAP-Rule:MF_03181, ECO:0000305|PubMed:24880344"""	"ZN_FING 8..37;  /note=""C3H1-type"";  /evidence=""ECO:0000255|HAMAP-Rule:MF_03181"""
